RegioCode,Landcode,Naam,GGD regio,Veiligheidsregio,Veiligheidsregio Code,Provincie,Landsdeel,Schoolregio,Opp land km2,Type
GM0370,NL,Beemster,GGD Zaanstreek/Waterland,Zaanstreek-Waterland,VR11      ,Noord-Holland,West-Nederland,Noord,71,Gemeente
GM0889,NL,Beesel,GGD Limburg-Noord,Limburg-Noord,VR23      ,Limburg,Zuid-Nederland,Zuid,28,Gemeente
GM1945,NL,Berg en Dal,GGD Gelderland-Zuid,Gelderland-Zuid,VR08      ,Gelderland,Oost-Nederland,Zuid,86,Gemeente
GM1724,NL,Bergeijk,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,101,Gemeente
GM0893,NL,Bergen (L.),GGD Limburg-Noord,Limburg-Noord,VR23      ,Limburg,Zuid-Nederland,Zuid,103,Gemeente
GM0373,NL,Bergen (NH.),GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,99,Gemeente
GM0748,NL,Bergen op Zoom,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,80,Gemeente
GM1859,NL,Berkelland,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,258,Gemeente
GM1721,NL,Bernheze,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,90,Gemeente
GM0753,NL,Best,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,34,Gemeente
GM0209,NL,Beuningen,GGD Gelderland-Zuid,Gelderland-Zuid,VR08      ,Gelderland,Oost-Nederland,Zuid,44,Gemeente
GM0375,NL,Beverwijk,GGD Kennemerland,Kennemerland,VR12      ,Noord-Holland,West-Nederland,Noord,18,Gemeente
GM1728,NL,Bladel,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,75,Gemeente
GM0376,NL,Blaricum,GGD Gooi en Vechtstreek,Gooi en Vechtstreek,VR14      ,Noord-Holland,West-Nederland,Noord,11,Gemeente
GM0377,NL,Bloemendaal,GGD Kennemerland,Kennemerland,VR12      ,Noord-Holland,West-Nederland,Noord,40,Gemeente
GM1901,NL,Bodegraven-Reeuwijk,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,75,Gemeente
GM0755,NL,Boekel,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,35,Gemeente
GM1681,NL,Borger-Odoorn,GGD Drenthe,Drenthe,VR03      ,Drenthe,Noord-Nederland,Noord,275,Gemeente
GM0147,NL,Borne,GGD Regio Twente,Twente,VR05      ,Overijssel,Oost-Nederland,Noord,26,Gemeente
GM0654,NL,Borsele,GGD Zeeland,Zeeland,VR19      ,Zeeland,West-Nederland,Zuid,142,Gemeente
GM0756,NL,Boxmeer,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,111,Gemeente
GM0757,NL,Boxtel,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,64,Gemeente
GM0758,NL,Breda,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,126,Gemeente
GM0501,NL,Brielle,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,28,Gemeente
GM1876,NL,Bronckhorst,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,284,Gemeente
GM0213,NL,Brummen,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,84,Gemeente
GM0899,NL,Brunssum,GGD Zuid-Limburg,Limburg-Zuid,VR24      ,Limburg,Zuid-Nederland,Zuid,17,Gemeente
GM0312,NL,Bunnik,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,37,Gemeente
GM0313,NL,Bunschoten,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,30,Gemeente
GM0214,NL,Buren,GGD Gelderland-Zuid,Gelderland-Zuid,VR08      ,Gelderland,Oost-Nederland,Midden,134,Gemeente
GM0502,NL,Capelle aan den IJssel,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,14,Gemeente
GM0383,NL,Castricum,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,50,Gemeente
GM0109,NL,Coevorden,GGD Drenthe,Drenthe,VR03      ,Drenthe,Noord-Nederland,Noord,296,Gemeente
GM1706,NL,Cranendonck,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,76,Gemeente
GM1684,NL,Cuijk,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,51,Gemeente
GM0216,NL,Culemborg,GGD Gelderland-Zuid,Gelderland-Zuid,VR08      ,Gelderland,Oost-Nederland,Midden,29,Gemeente
GM0148,NL,Dalfsen,GGD IJsselland,IJsselland,VR04      ,Overijssel,Oost-Nederland,Noord,165,Gemeente
GM1891,NL,Dantumadiel,GGD Fryslân,Fryslân,VR02      ,Friesland,Noord-Nederland,Noord,85,Gemeente
GM0310,NL,De Bilt,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,66,Gemeente
GM1940,NL,De Fryske Marren,GGD Fryslân,Fryslân,VR02      ,Friesland,Noord-Nederland,Noord,351,Gemeente
GM0736,NL,De Ronde Venen,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,100,Gemeente
GM1690,NL,De Wolden,GGD Drenthe,Drenthe,VR03      ,Drenthe,Noord-Nederland,Noord,225,Gemeente
GM0503,NL,Delft,GGD Haaglanden,Haaglanden,VR15      ,Zuid-Holland,West-Nederland,Midden,23,Gemeente
GM0400,NL,Den Helder,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,45,Gemeente
GM0762,NL,Deurne,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,117,Gemeente
GM0150,NL,Deventer,GGD IJsselland,IJsselland,VR04      ,Overijssel,Oost-Nederland,Noord,131,Gemeente
GM0384,NL,Diemen,GGD Amsterdam,Amsterdam-Amstelland,VR13      ,Noord-Holland,West-Nederland,Noord,12,Gemeente
GM1774,NL,Dinkelland,GGD Regio Twente,Twente,VR05      ,Overijssel,Oost-Nederland,Noord,176,Gemeente
GM0221,NL,Doesburg,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Zuid,12,Gemeente
GM0222,NL,Doetinchem,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,79,Gemeente
GM0766,NL,Dongen,GGD Hart voor Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,29,Gemeente
GM0505,NL,Dordrecht,GGD Zuid-Holland Zuid,Zuid-Holland-Zuid,VR18      ,Zuid-Holland,West-Nederland,Midden,79,Gemeente
GM0498,NL,Drechterland,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,59,Gemeente
GM1719,NL,Drimmelen,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,95,Gemeente
GM0303,NL,Dronten,GGD Flevoland,Flevoland,VR25      ,Flevoland,Oost-Nederland,Noord,334,Gemeente
GM0225,NL,Druten,GGD Gelderland-Zuid,Gelderland-Zuid,VR08      ,Gelderland,Oost-Nederland,Zuid,38,Gemeente
GM0226,NL,Duiven,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Zuid,34,Gemeente
GM1711,NL,Echt-Susteren,GGD Limburg-Noord,Limburg-Noord,VR23      ,Limburg,Zuid-Nederland,Zuid,103,Gemeente
GM0385,NL,Edam-Volendam,GGD Zaanstreek/Waterland,Zaanstreek-Waterland,VR11      ,Noord-Holland,West-Nederland,Noord,54,Gemeente
GM0228,NL,Ede,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Midden,318,Gemeente
GM0317,NL,Eemnes,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Noord,31,Gemeente
GM1979,NL,Eemsdelta,GGD Groningen,Groningen,VR01      ,Groningen,Noord-Nederland,Noord,268,Gemeente
GM0770,NL,Eersel,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,82,Gemeente
GM1903,NL,Eijsden-Margraten,GGD Zuid-Limburg,Limburg-Zuid,VR24      ,Limburg,Zuid-Nederland,Zuid,78,Gemeente
GM0772,NL,Eindhoven,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,88,Gemeente
GM0230,NL,Elburg,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,64,Gemeente
GM0114,NL,Emmen,GGD Drenthe,Drenthe,VR03      ,Drenthe,Noord-Nederland,Noord,335,Gemeente
GM0388,NL,Enkhuizen,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,13,Gemeente
GM0153,NL,Enschede,GGD Regio Twente,Twente,VR05      ,Overijssel,Oost-Nederland,Noord,141,Gemeente
GM0232,NL,Epe,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,156,Gemeente
GM0233,NL,Ermelo,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,86,Gemeente
GM0777,NL,Etten-Leur,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,55,Gemeente
GM0779,NL,Geertruidenberg,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,27,Gemeente
GM1771,NL,Geldrop-Mierlo,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,31,Gemeente
GM1652,NL,Gemert-Bakel,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,122,Gemeente
GM0907,NL,Gennep,GGD Limburg-Noord,Limburg-Noord,VR23      ,Limburg,Zuid-Nederland,Zuid,48,Gemeente
GM0784,NL,Gilze en Rijen,GGD Hart voor Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,65,Gemeente
GM1924,NL,Goeree-Overflakkee,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,260,Gemeente
GM0664,NL,Goes,GGD Zeeland,Zeeland,VR19      ,Zeeland,West-Nederland,Zuid,93,Gemeente
GM0785,NL,Goirle,GGD Hart voor Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,43,Gemeente
GM1942,NL,Gooise Meren,GGD Gooi en Vechtstreek,Gooi en Vechtstreek,VR14      ,Noord-Holland,West-Nederland,Noord,42,Gemeente
GM0512,NL,Gorinchem,GGD Zuid-Holland Zuid,Zuid-Holland-Zuid,VR18      ,Zuid-Holland,West-Nederland,Midden,19,Gemeente
GM0513,NL,Gouda,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,17,Gemeente
GM0786,NL,Grave,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,27,Gemeente
GM0014,NL,Groningen,GGD Groningen,Groningen,VR01      ,Groningen,Noord-Nederland,Noord,186,Gemeente
GM1729,NL,Gulpen-Wittem,GGD Zuid-Limburg,Limburg-Zuid,VR24      ,Limburg,Zuid-Nederland,Zuid,73,Gemeente
GM0158,NL,Haaksbergen,GGD Regio Twente,Twente,VR05      ,Overijssel,Oost-Nederland,Noord,105,Gemeente
GM0392,NL,Haarlem,GGD Kennemerland,Kennemerland,VR12      ,Noord-Holland,West-Nederland,Noord,29,Gemeente
GM0394,NL,Haarlemmermeer,GGD Kennemerland,Kennemerland,VR12      ,Noord-Holland,West-Nederland,Noord,197,Gemeente
